antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.027687607408821844,0.025523518553879448,0.019094901661256443,0.689655172413793,27.020380084272077,1.0,0.01838821649984485,3.13997977354861,0.9904130662477089,0.5597014925373134,0.6815266109597062,0.7188924241121334
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.025523518553879448,0.027687607408821844,0.019094901661256443,0.7481296758104737,27.020380084272077,1.0,0.01838821649984485,3.8603690042481418,0.988213585891574,0.5597014925373134,0.7409574061703557,0.7188924241121334
"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.024377824454204063,0.038953599388963145,0.02170453822162816,0.8903394255874674,22.856409665693956,1.0,0.020754934213864627,8.763827891286361,0.980142334347584,0.5214067278287462,0.885894609934744,0.7237644840355637
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.038953599388963145,0.024377824454204063,0.02170453822162816,0.5571895424836601,22.856409665693953,1.0,0.020754934213864627,2.203250079092351,0.9950077290469413,0.5214067278287462,0.5461250588439969,0.7237644840355637
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.03029724396919356,0.031379288396664755,0.02170453822162816,0.7163865546218487,22.829917159561596,1.0,0.020753832265494723,3.4152848794310193,0.9860731241825285,0.5429936305732485,0.707198656831638,0.7040350623007825
PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.031379288396664755,0.03029724396919356,0.02170453822162816,0.6916835699797161,22.829917159561596,1.0,0.020753832265494723,3.145154333705183,0.9871746646682101,0.5429936305732485,0.6820505787956233,0.7040350623007825
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.038953599388963145,0.031379288396664755,0.025714467570492013,0.6601307189542485,21.0371475162073,1.0,0.024492131341177593,2.849980170679045,0.9910708138169271,0.5763195435092725,0.6491203657175842,0.7398016677935543
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.031379288396664755,0.038953599388963145,0.025714467570492013,0.8194726166328601,21.037147516207295,1.0,0.024492131341177593,5.323549162935295,0.9833209500474295,0.5763195435092725,0.8121553930670153,0.7398016677935543
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.0322067341353192,0.029724396919355866,0.01992234739991089,0.6185770750988142,20.810416331643406,1.0,0.018965021650996495,2.543831373879823,0.9836265395295183,0.4742424242424242,0.6068921822931953,0.644406310568679
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.029724396919355866,0.0322067341353192,0.01992234739991089,0.6702355460385439,20.810416331643406,1.0,0.018965021650996495,2.9348016568753628,0.9811100454963478,0.4742424242424242,0.6592614708195701,0.644406310568679
