CustomerID,total_lifetime_orders,total_spent,total_items_bought,average_order_value,days_since_last_order,average_days_between_orders,Churn,Churn_Probability
18019.0,1,38.45,7,38.45,51,0.0,0,0.9253575622070308
13067.0,1,115.46,32,115.46,81,0.0,0,0.837611456604054
14792.0,1,6.2,2,6.2,63,0.0,0,0.8341792506452392
17647.0,1,133.06,30,133.06,64,0.0,0,0.8333518504223602
13832.0,1,52.2,28,52.2,18,0.0,0,0.8312463069099238
17038.0,1,112.4,28,112.4,29,0.0,0,0.8255920236674382
17382.0,1,65.4,25,65.4,64,0.0,0,0.8200321608771556
15504.0,1,52.83,33,52.83,80,0.0,0,0.8199453556562167
14661.0,1,107.95,35,107.95,26,0.0,0,0.8193853993270781
16789.0,1,80.8,32,80.8,7,0.0,0,0.8187567030519858
16468.0,1,74.9,31,74.9,73,0.0,0,0.8126711849337266
13514.0,1,152.20000000000002,40,152.20000000000002,73,0.0,0,0.8108395690863108
13876.0,1,122.7,36,122.7,63,0.0,0,0.8106547655110933
15216.0,1,96.6,28,96.6,87,0.0,0,0.805856757650109
17415.0,1,507.84,114,507.84,79,0.0,0,0.8055168443956743
16516.0,1,101.7,58,101.7,29,0.0,0,0.8006264901202802
15958.0,1,104.35,33,104.35,73,0.0,0,0.8002879776326126
13364.0,1,134.95999999999998,71,134.95999999999998,70,0.0,0,0.7996715534220611
18042.0,1,165.04999999999998,33,165.04999999999998,53,0.0,0,0.7976839598674548
16988.0,1,126.12,43,126.12,4,0.0,0,0.7952970245180836
17274.0,1,111.98,79,111.98,34,0.0,0,0.7934251246799797
15699.0,1,309.65,113,309.65,17,0.0,0,0.7931772937498042
14495.0,2,123.8,62,61.9,50,70.0,0,0.7917294467376864
14098.0,1,147.35,104,147.35,36,0.0,0,0.7900671794397848
18209.0,1,139.10000000000002,58,139.10000000000002,28,0.0,0,0.7892858590231104
15276.0,1,135.31,64,135.31,65,0.0,0,0.7880639908786794
16248.0,1,152.94,78,152.94,61,0.0,0,0.7877754255257937
13279.0,1,137.75,73,137.75,77,0.0,0,0.7868181858578249
14349.0,1,133.5,86,133.5,9,0.0,0,0.7850740180801062
17253.0,1,178.26,43,178.26,17,0.0,0,0.784781714292934
17427.0,1,100.8,34,100.8,71,0.0,0,0.7846659653092988
16337.0,1,151.05,87,151.05,36,0.0,0,0.784602090319537
14585.0,1,157.05,91,157.05,49,0.0,0,0.7841694701638154
14039.0,1,152.2,92,152.2,32,0.0,0,0.7836905231255237
17620.0,1,81.44,60,81.44,59,0.0,0,0.7827040384100461
15565.0,2,173.16,60,86.58,49,20.0,0,0.782318625778877
15937.0,1,145.35,73,145.35,63,0.0,0,0.7821428678285399
12893.0,1,188.14,96,188.14,30,0.0,0,0.7816524108574666
13006.0,1,81.57,55,81.57,55,0.0,0,0.7810457635451553
15428.0,1,93.78,102,93.78,14,0.0,0,0.7806690790281001
18066.0,1,318.0,108,318.0,74,0.0,0,0.7806191785628037
17148.0,1,124.88,82,124.88,51,0.0,0,0.7802548922431134
16181.0,1,305.54,152,305.54,72,0.0,0,0.7799442488967538
14109.0,1,144.2,88,144.2,72,0.0,0,0.7798964743081025
