CustomerID,total_lifetime_orders,total_spent,total_items_bought,average_order_value,days_since_last_order,average_days_between_orders,Churn
12346.0,1,77183.6,74215,77183.6,325,0.0,1
12347.0,7,4310.0,2458,615.7142857142857,1,60.833333333333336,0
12348.0,4,1797.24,2341,449.31,74,94.0,0
12349.0,1,1757.55,631,1757.55,18,0.0,0
12350.0,1,334.4,197,334.4,309,0.0,1
12352.0,8,2506.04,536,313.255,35,37.142857142857146,0
12353.0,1,89.0,20,89.0,203,0.0,1
12354.0,1,1079.4,530,1079.4,231,0.0,1
12355.0,1,459.4,240,459.4,213,0.0,1
12356.0,3,2811.43,1591,937.1433333333333,22,151.0,0
12357.0,1,6207.67,2708,6207.67,32,0.0,0
12358.0,2,1168.06,248,584.03,1,149.0,0
12359.0,4,6372.58,1622,1593.145,57,91.33333333333333,0
12360.0,3,2662.06,1165,887.3533333333334,51,74.0,0
12361.0,1,189.9,91,189.9,286,0.0,1
12362.0,10,5226.23,2229,522.6229999999999,2,32.44444444444444,0
12363.0,2,552.0,408,276.0,109,132.0,1
12364.0,4,1313.1,1506,328.275,7,34.666666666666664,0
12365.0,2,641.38,174,320.69,290,0.0,1
12367.0,1,168.9,173,168.9,3,0.0,0
12370.0,4,3545.69,2353,886.4225,50,103.0,0
12371.0,2,1887.96,591,943.98,44,14.0,0
12372.0,3,1298.04,794,432.68,71,112.0,0
12373.0,1,364.6,197,364.6,310,0.0,1
12374.0,1,742.9300000000001,342,742.9300000000001,24,0.0,0
12375.0,2,457.5,178,228.75,10,87.0,0
12377.0,2,1628.12,944,814.06,314,39.0,1
12378.0,1,4008.62,2529,4008.62,129,0.0,1
12379.0,2,852.24,407,426.12,81,88.0,0
12380.0,4,2724.81,1127,681.2025,21,54.666666666666664,0
12381.0,5,1845.31,808,369.062,4,28.75,0
12383.0,5,1850.56,1532,370.11199999999997,184,41.75,1
12384.0,2,585.27,126,292.635,28,92.0,0
12386.0,2,401.9,354,200.95,337,29.0,1
12388.0,6,2780.66,1462,463.4433333333333,15,62.2,0
12390.0,1,549.84,353,549.84,79,0.0,0
12391.0,1,460.89,300,460.89,21,0.0,0
12393.0,4,1582.6000000000001,816,395.65000000000003,71,86.66666666666667,0
12394.0,2,1272.48,819,636.24,63,153.0,0
12395.0,12,3018.63,2118,251.5525,18,31.90909090909091,0
12397.0,2,2409.9,1263,1204.95,35,99.0,0
12398.0,1,1635.6599999999999,1394,1635.6599999999999,45,0.0,0
12399.0,4,1108.65,1178,277.1625,118,47.333333333333336,1
12401.0,1,84.3,11,84.3,302,0.0,1
12402.0,1,225.6,94,225.6,322,0.0,1
12403.0,1,427.7,96,427.7,49,0.0,0
12405.0,1,1710.39,857,1710.39,148,0.0,1
12406.0,2,3415.3,1818,1707.65,21,161.0,0
12407.0,5,1708.1200000000001,1416,341.624,49,53.5,0
12408.0,5,2888.55,1409,577.71,32,56.75,0
12409.0,3,11072.67,5551,3690.89,78,51.5,0
12410.0,2,693.3299999999999,211,346.66499999999996,308,0.0,1
12412.0,3,1226.88,829,408.96000000000004,74,47.0,0
12413.0,3,758.1,286,252.70000000000002,66,135.0,0
12414.0,3,562.41,300,187.47,216,46.5,1
12415.0,21,124914.53,77374,5948.310952380953,23,15.65,0
12417.0,9,3649.1,1552,405.4555555555555,2,44.25,0
12418.0,1,668.58,407,668.58,112,0.0,1
12420.0,1,600.39,345,600.39,63,0.0,0
12421.0,4,807.04,484,201.76,15,101.0,0
12422.0,3,803.5600000000001,370,267.85333333333335,95,114.5,1
12423.0,8,1859.31,1339,232.41375,0,50.285714285714285,0
12424.0,2,1760.96,740,880.48,162,0.0,1
12425.0,1,777.2,496,777.2,77,0.0,0
12426.0,1,582.73,258,582.73,194,0.0,1
12427.0,3,825.8,533,275.26666666666665,21,174.5,0
12428.0,9,7956.46,3536,884.0511111111111,25,32.125,0
12429.0,4,3750.4,1557,937.6,8,118.66666666666667,0
12430.0,1,256.4,117,256.4,42,0.0,0
12431.0,15,6487.45,2906,432.49666666666667,35,24.142857142857142,0
12432.0,5,5059.32,1801,1011.8639999999999,42,32.25,0
12433.0,7,13375.87,11071,1910.8385714285716,0,62.0,0
12434.0,2,806.14,394,403.07,84,175.0,0
12435.0,2,7829.89,2055,3914.945,79,188.0,0
12436.0,1,509.01,211,509.01,99,0.0,1
12437.0,18,4951.41,2922,275.0783333333333,1,19.352941176470587,0
12438.0,2,2906.85,1180,1453.425,13,125.0,0
12441.0,1,173.55,121,173.55,366,0.0,1
12442.0,1,172.06,182,172.06,2,0.0,0
12444.0,5,5005.46,1153,1001.092,20,37.25,0
12445.0,1,133.4,62,133.4,21,0.0,0
12446.0,1,1002.3100000000001,351,1002.3100000000001,57,0.0,0
12447.0,1,476.49,190,476.49,242,0.0,1
12448.0,1,449.45,243,449.45,43,0.0,0
12449.0,4,4067.29,1553,1016.8225,21,54.666666666666664,0
12450.0,2,197.88,128,98.94,155,17.0,1
12451.0,5,9035.52,6575,1807.104,10,78.25,0
12452.0,2,430.57,185,215.285,16,0.0,0
12453.0,1,707.09,473,707.09,133,0.0,1
12454.0,1,3528.34,1006,3528.34,55,0.0,0
12455.0,6,2466.86,2089,411.1433333333334,72,44.6,0
12456.0,3,3181.04,1633,1060.3466666666666,43,105.0,0
12457.0,7,2363.23,843,337.6042857142857,65,28.666666666666668,0
12458.0,2,947.4,506,473.7,70,213.0,0
12461.0,2,826.88,287,413.44,93,60.0,1
12462.0,2,1189.59,536,594.795,18,284.0,0
12463.0,4,1344.78,776,336.195,52,62.666666666666664,0
12464.0,8,1212.05,112,151.50625,9,42.714285714285715,0
12465.0,2,742.1899999999999,479,371.09499999999997,16,152.0,0
12468.0,2,729.5400000000001,366,364.77000000000004,187,128.0,1
12471.0,30,19824.05,8212,660.8016666666666,1,12.482758620689655,0
12472.0,7,6572.11,4148,938.8728571428571,31,56.0,0
12473.0,5,3938.5499999999997,2439,787.7099999999999,28,40.5,0
12474.0,18,7375.79,4847,409.7661111111111,16,18.352941176470587,0
12475.0,1,723.38,535,723.38,53,0.0,0
12476.0,11,6816.42,2408,619.6745454545454,15,34.5,0
12477.0,6,13219.74,3653,2203.29,22,55.6,0
12478.0,1,680.99,236,680.99,3,0.0,0
12479.0,1,527.2,385,527.2,10,0.0,0
12480.0,4,3281.63,1707,820.4075,27,102.33333333333333,0
12481.0,10,5596.32,3304,559.632,22,38.0,0
12483.0,8,2484.98,1110,310.6225,16,46.0,0
12484.0,6,4541.72,2191,756.9533333333334,32,60.6,0
12488.0,3,1298.66,529,432.8866666666667,9,32.5,0
12489.0,1,334.93,105,334.93,335,0.0,1
12490.0,10,5417.93,3064,541.793,4,36.0,0
12491.0,1,460.40000000000003,260,460.40000000000003,38,0.0,0
12492.0,2,263.21000000000004,192,131.60500000000002,62,42.0,0
12493.0,2,433.74,207,216.87,165,31.0,1
12494.0,7,1246.1000000000001,707,178.01428571428573,15,58.166666666666664,0
12497.0,1,1043.1,1236,1043.1,81,0.0,0
12498.0,3,403.70000000000005,159,134.5666666666667,20,18.0,0
12500.0,11,4257.82,2678,387.07454545454544,22,31.0,0
12501.0,1,2169.39,1783,2169.39,336,0.0,1
12502.0,5,3723.87,820,744.774,95,53.5,1
12504.0,2,482.04999999999995,90,241.02499999999998,17,12.0,0
12506.0,1,73.5,23,73.5,232,0.0,1
12507.0,3,1304.81,894,434.93666666666667,133,82.0,1
12508.0,2,398.27,272,199.135,25,2.0,0
12509.0,1,176.5,55,176.5,283,0.0,1
12510.0,2,982.5699999999999,353,491.28499999999997,142,182.0,1
12512.0,2,138.03,99,69.015,65,0.0,0
12513.0,1,612.29,462,612.29,112,0.0,1
12514.0,1,1017.68,440,1017.68,266,0.0,1
12515.0,1,383.7,131,383.7,352,0.0,1
12516.0,2,1312.06,875,656.03,77,102.0,0
12517.0,5,2502.84,1371,500.56800000000004,27,40.25,0
12518.0,5,2056.89,1318,411.378,0,27.25,0
12519.0,1,340.84,183,340.84,63,0.0,0
12520.0,5,2634.26,1439,526.8520000000001,78,48.5,0
12521.0,1,599.68,309,599.68,142,0.0,1
12522.0,2,192.72,194,96.36,38,12.0,0
12523.0,11,1789.77,865,162.70636363636365,18,31.2,0
12524.0,8,4485.72,3699,560.715,8,46.285714285714285,0
12526.0,3,1316.66,632,438.8866666666667,0,46.5,0
12527.0,3,348.71000000000004,234,116.23666666666668,81,121.5,0
12528.0,6,1933.48,756,322.24666666666667,8,60.6,0
12530.0,4,1662.28,913,415.57,59,92.33333333333333,0
12531.0,1,125.22,45,125.22,14,0.0,0
12532.0,1,349.83000000000004,153,349.83000000000004,29,0.0,0
12534.0,1,1089.18,651,1089.18,130,0.0,1
12535.0,2,716.35,219,358.175,91,94.0,1
12536.0,3,12601.830000000002,2803,4200.610000000001,42,7.5,0
12538.0,1,363.95,191,363.95,28,0.0,0
12539.0,4,5568.35,2067,1392.0875,21,103.66666666666667,0
12540.0,17,13400.24,6685,788.2494117647059,19,21.375,0
12541.0,3,981.18,680,327.06,29,125.5,0
12544.0,1,372.7,136,372.7,35,0.0,0
12545.0,2,1000.39,523,500.195,74,184.0,0
12546.0,2,1161.5,633,580.75,46,31.0,0
12547.0,2,207.79999999999998,134,103.89999999999999,197,82.0,1
12548.0,1,95.19999999999999,49,95.19999999999999,165,0.0,1
12550.0,1,964.83,569,964.83,78,0.0,0
12551.0,1,168.0,100,168.0,357,0.0,1
12552.0,2,437.82,88,218.91,38,0.0,0
12553.0,10,3692.28,1965,369.228,7,35.666666666666664,0
12556.0,2,603.71,358,301.855,49,100.0,0
12557.0,5,11990.960000000001,4384,2398.192,15,88.75,0
12558.0,1,269.96,196,269.96,7,0.0,0
12559.0,2,561.71,283,280.855,310,8.0,1
12560.0,3,2134.01,1110,711.3366666666667,4,68.5,0
12561.0,1,238.85,177,238.85,302,0.0,1
12562.0,7,3781.7400000000002,1779,540.2485714285715,7,31.666666666666668,0
12564.0,1,456.9,133,456.9,260,0.0,1
12565.0,1,145.92,80,145.92,288,0.0,1
12566.0,1,351.65,265,351.65,85,0.0,0
12567.0,10,9401.28,4305,940.128,22,38.44444444444444,0
